model,category,key_no,symbol,part_number,description
SX-424,Receiver,,,K93-003-B,5P connector (DIN)
SX-626 (1971),Receiver,,R8,RT5B  100K,Wire wound  10  5W
SX-626 (1971),Receiver,,,AWB-009-0,FM front end (KUC)
SX-626 (1973),Receiver,6,,AAG-057-0,Dial scale
SX-626 (1973),Receiver,28,,B21-008-A,"P.C. board holder    KCW, FW, FVZW, NNW"
SX-626 (1973),Receiver,31,,AAL-048-A,"Model name plate    FW, FVZW"
SA-9100,Integrated Amplifier,,,AEK-022-0,Fuse 1A (protection) for FVW model
SA-9100,Integrated Amplifier,,,AEK-025-0,Fuse 4A (AC power) for KUW model
SA-8100,Integrated Amplifier,51,,AWS-036-0,Switch unit - B
SA-8100,Integrated Amplifier,,F3,E21 -033-0,Fuse 1A for protection   KUW model
SX-1250,Receiver,,,AKP-005,AC socket (OUTLET) (KCU/S)
SX-1050,Receiver,,S2,ASR-015,Relay (S)
SX-1980,Receiver,,,AWM-126,Meter amplifier assembly (HG)
SA-9500,Integrated Amplifier,,Q13,"2SD388P-S or R (2SD370S-R, O or Y) (2SC1403A-R, O or Y)",Transistor
SA-9500,Integrated Amplifier,,Q13,"2SB541P-S or R (2SB530S-R, O or Y) (2SA745A-R, O or Y)",Transistor
SA-9500,Integrated Amplifier,,,AEL-051-0,Lamp with wire 8V 50mA
SA-8500,Integrated Amplifier,,,AAB-087-0,Knob (VOLUME)
SA-6500,Integrated Amplifier,,,K72-020,Mic. jack
SA-9500II,Integrated Amplifier,,,ASD-053,Rotary switch (MODE)
SA-9500II,Integrated Amplifier,,,AWG-045,Control amplifier assembly
SA-6500II,Integrated Amplifier,,,AAD-115,Knob (TAPE MONITOR 2)
SA-7800,Integrated Amplifier,,,GWX-259,Terminal assembly
SA-1000,Integrated Amplifier,,,E21-012-O,1.5A fuse (FVW model)
SPEC-1,Pre-Amplifier,,,AAB-097,Knob (SPEAKERS)
SX-450,Receiver,,,ATT-322,Power Transformer (S)
SX-450,Receiver,,FU5,AEK-100,Fuse 4A (S)
SX-450,Receiver,,,AXB-010,Ferrite Bar antenna (HG)
SA-900,Integrated Amplifier,,S4,S15-033-A,BASS Control Switch (R)
SA-900,Integrated Amplifier,,,W15-052-A,MAIN AMP Unit
SA-800,Integrated Amplifier,,,K93-003-B,5P Connector (DIN type)
SA-700,Integrated Amplifier,,,E21-004-0,Fuse 1A
SA-600,Integrated Amplifier,,,W52-004-O,Compound part for REC terminal
SA-500A,Integrated Amplifier,,S4,ASK-010-A,Lever Switch (Mode)
SPEC-2,Amplifier,,C4,ACH-052,Electrolytic 15000 100V
SPEC-2,Amplifier,,C8,ACG-001,Ceramic 0.01 150V
RT-1011L,Reel To Reel Tape,,R003,RD¼PS 104J,Carbon film resistor 100kΩ ¼W
RT-1011L,Reel To Reel Tape,2-32,,RLA-435-0,Solenoid shaft
RT-1011L,Reel To Reel Tape,2-37,,RWX-048-0,Motor Fuse board assembly
RT-1011L,Reel To Reel Tape,2-81,,RLA-346-0,Drive pulley (2)
RT-1011L,Reel To Reel Tape,5-22,,RXA-508-0,Brake plate (R) assembly
RT-1011L,Reel To Reel Tape,5-36,,RNC-068-0,Stiffen angle
RT-1020L,Reel To Reel Tape,2-3,,RWX-035-0,Head P.C. board assembly
RT-1020L,Reel To Reel Tape,3-9,,E34-004-0,Insulate washer
RT-1020L,Reel To Reel Tape,4-21,"S.M, T.M",RXM-015-0,Reel motor
RT-1020L,Reel To Reel Tape,5-5,,RHC-023-0,Styrene paper
RT-1020L,Reel To Reel Tape,,,E33-856-0,Head cleaning ribbon
CT-F1000,Cassette Tape,,,RXM-036,Capstan motor
CT-F1000,Cassette Tape,,C003,CKDYF 473Z 50,Ceramic 0.047 50V
CT-F1000,Cassette Tape,,,HWX-181,Volume assembly
SX-1000TW,Receiver,,VR3,C87-018-0,100K dual  Bass
SX-1000TW,Receiver,,,W12-020-0,FM IF unit
SX-1000TW,Receiver,,,S11-018-0,LINE VOLTAGE SELECTOR
PL-530,Turntable,,,PEL-005,Neon lamp
PL-530,Turntable,,,PDE-004,Output cord (S. ST. KCT type)
PL-550,Turntable,,,PRB-054,Operating instructions PL-550
PL-71,Turntable,1-37,,KNK-253-0,Name plate C
SX-3900,Receiver,,,AMM-087,Wooden cover
SX-3900,Receiver,,PL6,AEL-095,Lamp with wires (AUX)
SX-3900,Receiver,,,AWM-226,Equalizer assembly
SX-3900,Receiver,,FU1,AEK-305,Fuse 10A
SX-3900,Receiver,,,AKP-041,AC socket (AC OUTLETS)
SX-3900,Receiver,,,AKE-054,Terminal (SPEAKERS)
SX-770,Receiver,,,K93-003-B,Connector 5P
SX-9000,Receiver,,,M42-054-0,Dial Pulley (Small)
SX-440,Receiver,,T1,T52-157-0,Power Transformer
SX-3800,Receiver,,,GWH-139,Power amplifier assembly
SX-990,Receiver,,,A12-168-0,"Knob, Bass, Treble (L)"
SX-990,Receiver,,,E22-002-0,Pilot Lamp (for Tuning Meter)
